"id","code","name"
"ocupacao_121","141205","Gerente de produção e operações"
"ocupacao_122","141305","Gerente de produção e operações da construção civil e obras públicas"
"ocupacao_123","141405","Comerciante atacadista"
"ocupacao_124","141410","Comerciante varejista"
"ocupacao_125","141420","Gerente de operações de serviços de assistência técnica"
"ocupacao_126","141415","Gerente de loja e supermercado"
"ocupacao_127","141525","Gerente de turismo"
"ocupacao_128","141515","Gerente de bar"
"ocupacao_129","141520","Gerente de pensão"
"ocupacao_130","141510","Gerente de restaurante"
"ocupacao_131","141505","Gerente de hotel"
"ocupacao_132","141605","Gerente de operações de transportes"
"ocupacao_133","141610","Gerente de operações de correios e telecomunicações"
"ocupacao_134","141615","Gerente de logística (armazenagem e distribuição)"
"ocupacao_135","141705","Gerente de produtos bancários"
"ocupacao_136","141735","Gerente de recuperação de crédito"
"ocupacao_137","141730","Gerente de crédito rural"
"ocupacao_138","141725","Gerente de crédito imobiliário"
"ocupacao_139","141720","Gerente de crédito e cobrança"
"ocupacao_140","141715","Gerente de câmbio e comércio exterior"
"ocupacao_141","141710","Gerente de agência"
"ocupacao_142","142110","Gerente de riscos"
"ocupacao_143","142115","Gerente financeiro"
"ocupacao_144","142105","Gerente administrativo"
"ocupacao_145","142120","Tecnólogo em gestão administrativo- financeira"
"ocupacao_146","142210","Gerente de departamento pessoal"
"ocupacao_147","142205","Gerente de recursos humanos"
"ocupacao_148","142320","Gerente de vendas"
"ocupacao_149","142305","Gerente comercial"
"ocupacao_150","142315","Gerente de marketing"
"ocupacao_151","142310","Gerente de comunicação"
"ocupacao_152","142415","Gerente de almoxarifado"
"ocupacao_153","142410","Gerente de suprimentos"
"ocupacao_154","142405","Gerente de compras"
"ocupacao_155","142515","Gerente de produção de tecnologia da informação"
"ocupacao_156","142520","Gerente de projetos de tecnologia da informação"
"ocupacao_157","142525","Gerente de segurança de tecnologia da informação"
"ocupacao_158","142530","Gerente de suporte técnico de tecnologia da informação"
"ocupacao_159","142535","Tecnólogo em gestão da tecnologia da informação"
"ocupacao_160","142510","Gerente de desenvolvimento de sistemas"
"ocupacao_161","142505","Gerente de rede"
"ocupacao_162","142610","Especialista em desenvolvimento de cigarros"
"ocupacao_163","142605","Gerente de pesquisa e desenvolvimento (p&d)"
"ocupacao_164","142705","Gerente de projetos e serviços de manutenção"
"ocupacao_165","142710","Tecnólogo em sistemas biomédicos"
"ocupacao_166","201115","Geneticista"
"ocupacao_167","201110","Biotecnologista"
"ocupacao_168","201105","Bioengenheiro"
"ocupacao_169","201215","Especialista em ensaios metrológicos"
"ocupacao_170","201210","Especialista em calibrações metrológicas"
"ocupacao_171","201205","Pesquisador em metrologia"
"ocupacao_172","201220","Especialista em instrumentação metrológica"
"ocupacao_173","201225","Especialista em materiais de referência metrológica"
"ocupacao_174","202105","Engenheiro mecatrônico"
"ocupacao_175","203025","Pesquisador em biologia vegetal"
"ocupacao_176","203020","Pesquisador em biologia humana"
"ocupacao_177","203015","Pesquisador em biologia de microorganismos e parasitas"
"ocupacao_178","203010","Pesquisador em biologia animal"
"ocupacao_179","203005","Pesquisador em biologia ambiental"
"ocupacao_180","203120","Pesquisador em matemática"
"ocupacao_181","203125","Pesquisador em química"
"ocupacao_182","203115","Pesquisador em física"
"ocupacao_183","203110","Pesquisador em ciências da terra e meio ambiente"
"ocupacao_184","203105","Pesquisador em ciências da computação e informática"
"ocupacao_185","203225","Pesquisador de engenharia metalúrgica, de minas e de materiais"
"ocupacao_186","203220","Pesquisador de engenharia mecânica"
"ocupacao_187","203215","Pesquisador de engenharia elétrica e eletrônica"
"ocupacao_188","203205","Pesquisador de engenharia civil"
"ocupacao_189","203230","Pesquisador de engenharia química"
"ocupacao_190","203210","Pesquisador de engenharia e tecnologia (outras áreas da engenharia)"
"ocupacao_191","203320","Pesquisador em saúde coletiva"
"ocupacao_192","203315","Pesquisador em medicina veterinária"
"ocupacao_193","203310","Pesquisador de medicina básica"
"ocupacao_194","203305","Pesquisador de clínica médica"
"ocupacao_195","203410","Pesquisador em ciências da pesca e aqüicultura"
"ocupacao_196","203415","Pesquisador em ciências da zootecnia"
"ocupacao_197","203420","Pesquisador em ciências florestais"
"ocupacao_198","203405","Pesquisador em ciências agronômicas"
"ocupacao_199","203510","Pesquisador em economia"
"ocupacao_200","203515","Pesquisador em ciências da educação"
"ocupacao_201","203520","Pesquisador em história"
"ocupacao_202","203525","Pesquisador em psicologia"
"ocupacao_203","203505","Pesquisador em ciências sociais e humanas"
"ocupacao_204","204105","Perito criminal"
"ocupacao_205","211120","Matemático aplicado"
"ocupacao_206","211105","Atuário"
"ocupacao_207","211110","Especialista em pesquisa operacional"
"ocupacao_208","211115","Matemático"
"ocupacao_209","211205","Estatístico"
"ocupacao_210","211215","Estatístico teórico"
"ocupacao_211","211210","Estatístico (estatística aplicada)"
"ocupacao_212","212215","Engenheiros de sistemas operacionais em computação"
"ocupacao_213","212210","Engenheiro de equipamentos em computação"
"ocupacao_214","212205","Engenheiro de aplicativos em computação"
"ocupacao_215","212305","Administrador de banco de dados"
"ocupacao_216","212310","Administrador de redes"
"ocupacao_217","212315","Administrador de sistemas operacionais"
"ocupacao_218","212320","Administrador em segurança da informação"
"ocupacao_219","212405","Analista de desenvolvimento de sistemas"
"ocupacao_220","212410","Analista de redes e de comunicação de dados"
"ocupacao_221","212415","Analista de sistemas de automação"
"ocupacao_222","212420","Analista de suporte computacional"
"ocupacao_223","213105","Físico"
"ocupacao_224","213110","Físico (acústica)"
"ocupacao_225","213125","Físico (estatística e matemática)"
"ocupacao_226","213145","Físico (materiais)"
"ocupacao_227","213150","Físico (medicina)"
"ocupacao_228","213155","Físico (nuclear e reatores)"
"ocupacao_229","213160","Físico (óptica)"
"ocupacao_230","213165","Físico (partículas e campos)"
